date,cash_withdrawn,atm_visits
2023-01-01,86900,247
2023-01-02,87500,272
2023-01-03,49000,146
2023-01-04,56300,161
2023-01-05,48100,158
2023-01-06,73100,223
2023-01-07,75900,201
2023-01-08,43100,141
2023-01-09,45900,154
2023-01-10,46300,128
2023-01-11,55800,146
2023-01-12,50200,128
2023-01-13,72800,231
2023-01-14,70300,235
2023-01-15,47500,145
2023-01-16,47500,177
2023-01-17,49900,134
2023-01-18,53200,131
2023-01-19,50800,120
2023-01-20,69600,232
2023-01-21,77900,232
2023-01-22,49500,145
2023-01-23,44000,139
2023-01-24,48100,165
2023-01-25,51300,123
2023-01-26,51200,144
2023-01-27,72200,239
2023-01-28,114100,343
2023-01-29,81600,245
2023-01-30,86300,264
2023-01-31,83000,247
2023-02-01,80500,232
2023-02-02,88200,270
2023-02-03,74700,245
2023-02-04,76400,220
2023-02-05,51400,173
2023-02-06,49800,173
2023-02-07,39500,162
2023-02-08,50300,145
2023-02-09,50300,120
2023-02-10,74100,235
2023-02-11,80900,222
2023-02-12,46700,142
2023-02-13,53600,154
2023-02-14,47800,157
2023-02-15,50300,164
2023-02-16,47100,145
2023-02-17,73400,208
2023-02-18,76100,233
2023-02-19,50000,146
2023-02-20,44300,143
2023-02-21,48600,137
2023-02-22,49300,156
2023-02-23,57500,152
2023-02-24,76000,228
2023-02-25,67300,229
2023-02-26,50200,186
2023-02-27,49200,154
2023-02-28,84800,232
2023-03-01,89500,261
2023-03-02,88100,236
2023-03-03,80600,208
2023-03-04,77300,262
2023-03-05,46000,141
2023-03-06,50300,142
2023-03-07,43700,151
2023-03-08,45700,157
2023-03-09,46300,173
2023-03-10,71800,225
2023-03-11,78200,211
2023-03-12,50900,169
2023-03-13,43500,152
2023-03-14,51000,161
2023-03-15,45000,130
2023-03-16,52000,154
2023-03-17,76000,235
2023-03-18,72200,233
2023-03-19,51100,139
2023-03-20,57400,157
2023-03-21,45200,159
2023-03-22,46100,161
2023-03-23,54600,137
2023-03-24,78800,236
2023-03-25,78200,258
2023-03-26,49000,138
2023-03-27,46400,137
2023-03-28,84600,255
2023-03-29,86100,262
2023-03-30,85000,271
2023-03-31,108900,370
2023-04-01,112500,317
2023-04-02,80700,257
2023-04-03,49100,160
2023-04-04,51800,148
2023-04-05,46600,127
2023-04-06,48200,162
2023-04-07,75800,211
2023-04-08,75600,235
2023-04-09,46400,152
2023-04-10,50200,132
2023-04-11,171400,458
2023-04-12,54300,165
2023-04-13,44400,135
2023-04-14,77000,237
2023-04-15,77000,287
2023-04-16,52200,167
2023-04-17,53800,159
2023-04-18,48700,161
2023-04-19,46900,146
2023-04-20,48000,151
2023-04-21,84200,201
2023-04-22,77700,205
2023-04-23,48100,166
2023-04-24,50200,133
2023-04-25,47100,160
2023-04-26,47000,153
2023-04-27,50100,140
2023-04-28,118500,339
2023-04-29,101800,332
2023-04-30,82300,262
2023-05-01,81800,248
2023-05-02,87000,262
2023-05-03,45100,144
2023-05-04,48100,140
2023-05-05,82000,236
2023-05-06,69900,243
2023-05-07,58400,165
2023-05-08,43900,142
2023-05-09,55000,139
2023-05-10,51700,161
2023-05-11,46200,149
2023-05-12,62000,214
2023-05-13,73900,211
2023-05-14,56500,128
2023-05-15,48200,151
2023-05-16,55700,128
2023-05-17,54600,150
2023-05-18,46000,156
2023-05-19,75700,220
2023-05-20,75200,224
2023-05-21,50400,159
2023-05-22,56300,131
2023-05-23,58500,120
2023-05-24,49300,158
2023-05-25,51100,140
2023-05-26,74100,222
2023-05-27,72600,242
2023-05-28,86400,239
2023-05-29,88500,254
2023-05-30,88200,259
2023-05-31,81600,241
2023-06-01,87900,259
2023-06-02,109900,331
2023-06-03,80100,221
2023-06-04,52100,146
2023-06-05,49100,166
2023-06-06,53300,162
2023-06-07,55200,150
2023-06-08,52700,145
2023-06-09,76200,228
2023-06-10,75300,238
2023-06-11,46700,181
2023-06-12,45900,131
2023-06-13,54600,161
2023-06-14,52400,159
2023-06-15,49900,136
2023-06-16,75300,219
2023-06-17,78900,227
2023-06-18,46600,145
2023-06-19,51600,141
2023-06-20,46700,153
2023-06-21,50900,142
2023-06-22,48100,153
2023-06-23,69200,208
2023-06-24,72100,226
2023-06-25,51200,172
2023-06-26,53400,147
2023-06-27,49900,134
2023-06-28,84900,245
2023-06-29,86200,237
